ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Downloads,Price
2005018,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada,11,219
60973129,Decision in Normandy,Carlo D'Este,1991,HarperPerennial,25,199
887841740,The Middle Stories,Sheila Heti,2004,House of Anansi Press,13,199
1567407781,The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman,1998,Brilliance Audio - Trade,3,176
1881320189,Goodbye to the Buttermilk Sky,Julia Oliver,1994,River City Pub,3,159
1879384493,If I'd Known Then What I Know Now, Why Not Learn from the Mistakes of Others? , You Can't Afford to Make Them All Yourself,J. R. Parrish,2003,Cypress House
971880107,Wild Animus,Rich Shapero,2004,Too Far,3,56
446310786,To Kill a Mockingbird,Harper Lee,1988,"Little Brown &amp, Company",3,149
245542957,Pacific Northwest,Hans Johannes Hoefer,1985,Chambers Harrap Publishers Ltd,4,164
961769947,Northwest Wines and Wineries,Chuck Hill,1993,Speed Graphics,0,229
804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12),2,239
1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,Thomas Nelson,21,249
966986105,Prescription for Terror,Sandra Levy Ceren,1999,Andrew Scott Publishers,25,59
60930365,My First Cousin Once Removed, Money, Madness, and the Family of Robert Lowell,Sarah Payne Stuart,1999
8445071777,El Senor De Los Anillos, El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.),J. R. R. Tolkien,2001,Distribooks
385235941,Prize Stories, 1987, The O'Henry Awards,William Abrahams,1987,Doubleday Books
446677450,Rich Dad, Poor Dad, What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,2000,Warner Books
684822733,Love, Miracles, and Animal Healing , A heartwarming look at the spiritual bond between animals and humans,Pam Proctor,1996
440222303,The Touch of Your Shadow, the Whisper of Your Name (Babylon 5, Book 5),Neal Barrett Jr.,1996,Dell
451406923,Goodbye, My Little Ones, The True Story of a Murderous Mother and Five Innocent Victims,Charles Hickey,1996,Onyx Books
9724119378,O Deus Das Pequenas Coisas,Roy,1998,Edicoes Asa,2,210
1903019699,The Soulbane Stratagem,Norman Jetmundsen,2000,John Hunt Publishing, Ltd.,2
8476409419,Estudios sobre el amor,Jose Ortega Y Gaset,2001,Downtown Book Center,4,79
61030147,Cybill Disobedience, How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies
330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK),1,105
671504282,LAW OF THE JUNGLE (HARDY BOYS CASE FILE 105) , LAW OF THE JUNGLE (Hardy Boys, The),Franklin W. Dixon,1995,Simon Pulse
3150000335,Kabale Und Liebe,Schiller,0,Philipp Reclam, Jun Verlag GmbH,1
342311360X,Die Liebe in Den Zelten,Gabriel Garcia Marquez,0,Deutscher Taschenbuch Verlag (DTV),0,0
435272683,Great Expectations (Heinemann Guided Readers),John Milne,1995,Delta Systems,4,244
61052515,Maskerade, A Novel of Discworld (Pratchett, Terry. Discworld Series (New York, N.Y.).),Terry Pratchett,1997
312156960,The Winter King, A Novel of Arthur (The Warlord Chronicles, I),Bernard Cornwell,1997,St. Martin's Griffin
380730448,The Adrian Mole Diaries , The Secret Diary of Adrian Mole, Aged 13 3/4 , The Growing Pains of Adrian Mole,Sue Townsend,1997
385327773,The Great God Pan,Donna Jo Napoli,2003,Wendy Lamb Books,3,99
451526341,Animal Farm,George Orwell,2004,Signet,5,156
156971620X,Harlequin Valentine,Neil Gaiman,2002,Dark Horse Comics,1,139
520011171,Sappho, A New Translation,Mary Barnard,1958,University of California Press,8
872200760,Symposium,Paul Woodruff,1989,Hackett Pub Co Inc,1,149
972044205,The Breach,Brian Kaufman,2002,Last Knight Pub Co,18,279
1575843366,What Shall I Be (Barbie Carryalong),Rita Chapman Works,1999,Reader's Digest,5,109
380711109,Desert Notes/River Notes,Barry Lopez,1990,Quill (HarperCollins),4,119
452283914,The Best Democracy Money Can Buy, The Truth About Corporate Cons, Globalization and High-Finance Fraudsters,Greg Palast,2003,Plume Books
1559703237,Trying to Save Piggy Sneed,John Irving,1996,Arcade Publishing,17,89
62770500,Seattle Access,HarperReference,1993,Access Press (HarperCollins),3,99
076218857X,The Doorbell Rang (The Best Mysteries of All Time),Rex Stout,2000,Readers Digest Assn,1,0
800706544,Though I walk through the valley,Vance Havner,1974,F. H. Revell,5,99
801096677,Victorious Christians You Should Know,Warren W. Wiersbe,1984,Baker Book House,25,89
891091963,Inside out,Lawrence J Crabb,1988,NavPress,5,149
927545373,Unveiled at Last,Bob Sjogren,1988,YWAM Publishing,25,89
1575024179,The Day I Almost Quit,Frederick J. Moody,1997,F.J. Moody,13,199
1880185008,Serving As Senders, How to Care for Your Missionaries While They Are Preparing to Go, While They Are on the Field, When They Return Home,Neal Pirolo,1991
785815147,Simple Wicca (Simple Wisdom Book),Michele Morgan,2002,Castle Books,1,149
373196989,Santa Brought A Son , Marrying The Boss's Daughter (Silhouette Romance, 1698),Melissa McClone,2003,Silhouette
140104682,Heroes of Their Own Lives, The Politics and History of Family Violence, Boston 1880-1960,Linda Gordon,1989,Penguin USA
819154946,The Community in America,Roland Warren,1987,University Press of America,4,149
897322339,The Best in Tent Camping, Smoky Mountains , A Guide for Campers Who Hate Rvs, Concrete Slabs, and Loud Portable Stereos (Best in Tent Camping Colorado),Johnny Molloy
940322978,Mawrdew Czgowchwz (New York Review Books Classics),James McCourt,2002,New York Review of Books,6,99
1573225126,Prozac Nation, Young and Depressed in America , A Memoir,Elizabeth Wurtzel,1997,Riverhead Books
1579651658,The Journey From Here,Bill Bradley,2000,Artisan Publishers,1,59
8401351421,El desarrollo de Leonardo da Vinci (BiografÃ­as y memorias),Luis Racionero,1986,"Plaza &amp, JanÃ©s",1,119
8423324311,Gastronomia divina (L'Ã¡ncora),Eugeni Perea SimÃ³n,1994,Destino,10,59
8440616252,El paraÃ­so (Tiempos modernos),Elena Castedo,1991,Editiones B, Grupo Zeta,7
8472227421,Essa efa (ColÂ¨lecciÃ³ El Mirall i el temps),OfÃ¨lia Dracs,1985,Editorial Laia,1,126
8474103347,Espurnes de sang (La Negra),Antoni Serra,1987,Edicions de la Magrana,1,129
